"","api_uri","district","domain","dw_nominate","facebook_account","facebook_id","first_name","id","ideal_point","last_name","middle_name","missed_votes_pct","next_election","party","rss_url","seniority","state","thomas_id","twitter_account","url","votes_with_party_pct"
"325","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000608.json","52","scottpeters.house.gov","-0.165","CongressmanScottPeters","449337038470352","Scott","P000608","-0.454086342","Peters",NA,"1.39",NA,"D","http://scottpeters.house.gov/rss.xml","2","CA","2113","RepScottPeters","http://scottpeters.house.gov/","81.74"
"326","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/Q000023.json","5","quigley.house.gov","-0.344","repmikequigley","158963645688","Mike","Q000023","-1.093422916","Quigley",NA,"2.90","2014","D","http://quigley.house.gov/index.php?format=feed&amp;type=rss","6","IL","1967","RepMikeQuigley","http://quigley.house.gov/","95.59"
"327","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000011.json","3","www.rahall.house.gov","-0.307","NickRahall","357958026910","Nick","R000011","-0.39038778","Rahall II","J.","0.63","2014","D","http://rahall.house.gov/rss.xml","38","WV","940","","http://www.rahall.house.gov/","76.05"
"328","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000053.json","13","rangel.house.gov","-0.408","CBRangel","7390589055","Charles","R000053","-1.083032445","Rangel","B.","8.06","2014","D","http://rangel.house.gov/rss.xml","44","NY","944","cbrangel","http://rangel.house.gov/","94.38"
"329","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000395.json","5","halrogers.house.gov","0.54","CongressmanHalRogers","6722039085","Harold","R000395","0.672687914","Rogers",NA,"3.65","2014","R","http://halrogers.house.gov/news/rss.aspx","34","KY","977","RepHalRogers","http://halrogers.house.gov/","94.90"
"330","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000409.json","48","rohrabacher.house.gov","1.019","","","Dana","R000409","0.68122127","Rohrabacher",NA,"8.56","2014","R","http://rohrabacher.house.gov/rss.xml","26","CA","979","","http://rohrabacher.house.gov/","89.53"
"331","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000435.json","27","ros-lehtinen.house.gov","0.488","iroslehtinen","286546974761109","Ileana","R000435","0.528629971","Ros-Lehtinen",NA,"4.91","2014","R","http://ros-lehtinen.house.gov/rss.xml","26","FL","985","RosLehtinen","http://ros-lehtinen.house.gov/","92.58"
"332","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000486.json","40","roybal-allard.house.gov","-0.407","RepRoybalAllard","139773069370563","Lucille","R000486","-1.577638408","Roybal-Allard",NA,"2.41","2014","D","http://roybal-allard.house.gov/News/Rss.aspx","22","CA","997","RepRoybalAllard","http://roybal-allard.house.gov/","95.18"
"333","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000487.json","39","www.royce.house.gov","0.911","EdRoyce","6460640558","Ed","R000487","1.035284773","Royce",NA,"2.14","2014","R","http://royce.house.gov/News/Rss.aspx","22","CA","998","RepEdRoyce","http://royce.house.gov/","95.88"
"334","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000515.json","1","rush.house.gov","-0.417","congressmanbobbyrush","230753786936538","Bobby","R000515","-1.223734808","Rush","L.","42.07","2014","D","http://rush.house.gov/rss.xml","22","IL","1003","RepBobbyRush","http://rush.house.gov/","90.00"
"335","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000570.json","1","paulryan.house.gov","0.866","reppaulryan","7123827676","Paul","R000570","0.955764846","Ryan","D.","0.38","2014","R","http://paulryan.house.gov/news/rss.aspx","16","WI","1560","reppaulryan","http://paulryan.house.gov/","95.95"
"336","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000572.json","8","mikerogers.house.gov","0.685","168209963203416","168209963203416","Mike","R000572","0.84869248","Rogers",NA,"5.54","2014","R","http://mikerogers.house.gov/news/rss.aspx","14","MI","1651","RepMikeRogers","http://mikerogers.house.gov/","95.60"
"337","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000575.json","3","mike-rogers.house.gov","0.433","171770326187035","","Mike","R000575","0.803418814","Rogers","D.","3.53","2014","R","http://mike-rogers.house.gov/rss.xml","14","AL","1704","RepMikeRogersAL","http://mike-rogers.house.gov/","95.17"
"338","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000576.json","2","dutch.house.gov","-0.306","184756771570504","","C.A. Dutch","R000576","-0.801996019","Ruppersberger",NA,"5.79","2014","D","http://dutch.house.gov/atom.xml","12","MD","1728","Call_Me_Dutch","http://ruppersberger.house.gov/","92.78"
"339","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000577.json","13","timryan.house.gov","-0.396","timryan","121560497865","Tim","R000577","-0.769826771","Ryan",NA,"2.39","2014","D","http://timryan.house.gov/rss.xml","12","OH","1756","RepTimRyan","http://timryan.house.gov/","88.39"
"340","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000578.json","8","reichert.house.gov","0.519","repdavereichert","91504302598","Dave","R000578","0.486504954","Reichert",NA,"0.38","2014","R","http://reichert.house.gov/rss.xml","10","WA","1810","davereichert","http://reichert.house.gov/","89.76"
"341","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000580.json","6","roskam.house.gov","0.681","","","Peter","R000580","0.840931673","Roskam",NA,"1.39","2014","R","http://roskam.house.gov/index.php?option=com_content&amp;view=section&amp;layout=blog&amp;id=13&amp;Itemid=100052&amp;format=feed&amp;type=rss","8","IL","1848","PeterRoskam","http://roskam.house.gov/","96.42"
"342","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000582.json","1","roe.house.gov","0.73","DrPhilRoe","130725126985966","Phil","R000582","0.939787037","Roe",NA,"1.26","2014","R","","6","TN","1954","DrPhilRoe","http://roe.house.gov/","95.03"
"343","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000583.json","17","rooney.house.gov","0.733","","117697790448","Tom","R000583","0.691662417","Rooney",NA,"2.02","2014","R","http://rooney.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=1&amp;format=raw","6","FL","1916","TomRooney","http://rooney.house.gov/","92.16"
"344","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000585.json","23","reed.house.gov","0.642","RepTomReed","102449199835273","Tom","R000585","0.511614737","Reed",NA,"3.53","2014","R","http://reed.house.gov/rss.xml","6","NY","1982","RepTomReed","http://reed.house.gov/","90.34"
"345","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000586.json","16","renacci.house.gov","0.717","repjimrenacci","187639524595278","Jim","R000586","0.821336581","Renacci",NA,"0.38",NA,"R","http://renacci.house.gov/common/rss//index.cfm?rss=25","4","OH","2048","repjimrenacci","http://renacci.house.gov/","93.05"
"346","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000587.json","8","ribble.house.gov","0.906","CongressmanReidRibble","157169920997203","Reid","R000587","1.135181027","Ribble",NA,"1.39",NA,"R","http://ribble.house.gov/rss.xml","4","WI","2073","RepRibble","http://ribble.house.gov/","91.83"
"347","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000588.json","2","richmond.house.gov","-0.409","RepRichmond","197737020257085","Cedric","R000588","-0.762045112","Richmond",NA,"9.19",NA,"D","http://richmond.house.gov/rss.xml","4","LA","2023","reprichmond","http://richmond.house.gov/","90.57"
"348","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000589.json","2","rigell.house.gov","0.779","RepScottRigell","167851429918010","Scott","R000589","0.741743582","Rigell",NA,"1.26",NA,"R","http://rigell.house.gov/news/rss.aspx","4","VA","2068","repscottrigell","http://rigell.house.gov/","91.20"
